Word,Concreteness,Brysbaert,Muraki,Glasgow,MRC
accommodation centre,3.45,,3.45,,
accommodation ladder,3.18,,3.18,,
accommodative,1.73,1.73,,,
accommodator,2.78,2.78,,,
accomodate requirements,2.09,,2.09,,
accompanied baggage,3.55,,3.55,,
accompanier,2.71,2.71,,,
accompaniment,2.26,2.26,,,
accompany,3.07,3.07,,,
accomplice,3.34,3.34,,,395
accomplish,2.33,2.33,,,
accomplishable,1.82,1.82,,,
accomplished,1.7,1.7,,,
accomplished fact,2.7,,2.7,,
accomplisher,2.52,2.52,,,
accomplishment,2.5,2.5,,,
accord,1.57,1.57,,,299
accord and satisfaction,1.8,,1.8,,
accord with,2.4,,2.4,,
accordance,1.54,1.54,,,270
accordantly,1.57,1.57,,,
according,1.63,1.63,,,
according as,2.1,,2.1,,
according to,2.1,,2.1,,
accordingly,1.58,1.58,,,
accordion,4.86,4.86,,6.5,586
accordion door,3.7,,3.7,,
accordionist,4.61,4.61,,,
accosted,2.52,2.52,,,
account,3.08,3.08,,,365
account book,4.3,,4.3,,
account executive,4.0,,4.0,,
account for,3.9,,3.9,,
account holder,4.09,,4.09,,
account name,3.6,,3.6,,
account payable,3.6,,3.6,,
